证券代码,持仓权重,交易价格,成分日期
300383.SZ,0.025807531840225655,0,2020-02-12
002371.SZ,0.02578692702438492,0,2020-02-12
002129.SZ,0.025343923483814625,0,2020-02-12
600763.SH,0.025343923483806565,0,2020-02-12
300088.SZ,0.02516878254916998,0,2020-02-12
600739.SH,0.025086363285807618,0,2020-02-12
002821.SZ,0.024921524759083,0,2020-02-12
002340.SZ,0.024835626943205454,0,2020-02-12
002507.SZ,0.024148844165065297,0,2020-02-12
600699.SH,0.02360519667583169,0,2020-02-12
000547.SZ,0.023365861163126885,0,2020-02-12
600845.SH,0.023273139491843932,0,2020-02-12
600884.SH,0.023159813004721724,0,2020-02-12
600808.SH,0.022809531135433114,0,2020-02-12
300244.SZ,0.022582878161186534,0,2020-02-12
002414.SZ,0.022490156489904736,0,2020-02-12
300182.SZ,0.022335620371028708,0,2020-02-12
000826.SZ,0.022181084252297346,0,2020-02-12
300324.SZ,0.022016245725573435,0,2020-02-12
000758.SZ,0.021999119462234054,0,2020-02-12
002444.SZ,0.02199564090973059,0,2020-02-12
002709.SZ,0.021964733685972425,0,2020-02-12
600565.SH,0.02186170960676901,0,2020-02-12
300316.SZ,0.0217380807117167,0,2020-02-12
300459.SZ,0.021686568672125362,0,2020-02-12
603056.SH,0.020988727819286426,0,2020-02-12
601099.SH,0.02094074114903796,0,2020-02-12
300010.SZ,0.020726608526199567,0,2020-02-12
002127.SZ,0.020646552156027773,0,2020-02-12
600155.SH,0.020596207089500274,0,2020-02-12
002004.SZ,0.02050528627286385,0,2020-02-12
002812.SZ,0.01950856564871003,0,2020-02-12
300253.SZ,0.01939689242030818,0,2020-02-12
000930.SZ,0.01884310408609594,0,2020-02-12
600039.SH,0.017988004228753778,0,2020-02-12
300315.SZ,0.017905584965468815,0,2020-02-12
300012.SZ,0.017143206779296333,0,2020-02-12
600409.SH,0.017057321056327,0,2020-02-12
600751.SH,0.016495508511968942,0,2020-02-12
600823.SH,0.015698434647139863,0,2020-02-12
002831.SZ,0.015658779819411637,0,2020-02-12
600881.SH,0.015363270939098644,0,2020-02-12
600317.SH,0.014410345794675117,0,2020-02-12
603568.SH,0.014301668618664685,0,2020-02-12
002048.SZ,0.013277423678654724,0,2020-02-12
300529.SZ,0.01276468341313512,0,2020-02-12
600060.SH,0.012527728031025686,0,2020-02-12
603486.SH,0.011703335090477067,0,2020-02-12
600777.SH,0.010196299045041348,0,2020-02-12
601128.SH,0.009846893158771885,0,2020-02-12
