证券代码,持仓权重,交易价格,成分日期
300383.SZ,0.02587898497457417,0,2020-02-17
002371.SZ,0.025858323110323017,0,2020-02-17
002812.SZ,0.0255587260786815,0,2020-02-17
002129.SZ,0.025414093028922967,0,2020-02-17
600763.SH,0.025414093028921097,0,2020-02-17
300253.SZ,0.02539343116467188,0,2020-02-17
300088.SZ,0.0252384671827882,0,2020-02-17
002340.SZ,0.025059559436172937,0,2020-02-17
002507.SZ,0.02421570490235218,0,2020-02-17
600909.SH,0.023843791345831374,0,2020-02-17
002385.SZ,0.023678496431826256,0,2020-02-17
000547.SZ,0.02343055406081211,0,2020-02-17
600845.SH,0.023337575671681793,0,2020-02-17
600745.SH,0.022975993047277626,0,2020-02-17
600808.SH,0.022872683726030872,0,2020-02-17
000021.SZ,0.022821029065402842,0,2020-02-17
603707.SH,0.02281069813327749,0,2020-02-17
600171.SH,0.022800367201151917,0,2020-02-17
002048.SZ,0.022531762965884997,0,2020-02-17
002127.SZ,0.022334976782101102,0,2020-02-17
300324.SZ,0.022077201952361247,0,2020-02-17
002444.SZ,0.022056540088110244,0,2020-02-17
002709.SZ,0.022025547291733408,0,2020-02-17
600565.SH,0.02192223797047704,0,2020-02-17
000758.SZ,0.021904858006708185,0,2020-02-17
300244.SZ,0.021827390365608115,0,2020-02-17
300182.SZ,0.02180519544040099,0,2020-02-17
300316.SZ,0.021798266784972105,0,2020-02-17
300459.SZ,0.02174661212434272,0,2020-02-17
603568.SH,0.02170528839584073,0,2020-02-17
600739.SH,0.021465284727212507,0,2020-02-17
603056.SH,0.021436684160574093,0,2020-02-17
002004.SZ,0.021377200182856063,0,2020-02-17
600521.SH,0.01948839943429807,0,2020-02-17
601099.SH,0.019073746118664785,0,2020-02-17
600143.SH,0.018117953333224156,0,2020-02-17
300012.SZ,0.01719067105696278,0,2020-02-17
600823.SH,0.0169822143043285,0,2020-02-17
002831.SZ,0.01693931660160932,0,2020-02-17
002180.SZ,0.015868311744879036,0,2020-02-17
600317.SH,0.015588788690422866,0,2020-02-17
600881.SH,0.01542638840834035,0,2020-02-17
603486.SH,0.01266040526009302,0,2020-02-17
600777.SH,0.01103012748633947,0,2020-02-17
601128.SH,0.010652148039775702,0,2020-02-17
300315.SZ,0.010152157885219905,0,2020-02-17
601865.SH,0.009894726231450912,0,2020-02-17
600008.SH,0.009097304872269781,0,2020-02-17
000732.SZ,0.00882445414535773,0,2020-02-17
300113.SZ,0.008395267556879811,0,2020-02-17
