证券代码,持仓权重,交易价格,成分日期
300383.SZ,0.02621022324691918,0,2020-02-21
002371.SZ,0.026189296920978527,0,2020-02-21
002812.SZ,0.02588586519476703,0,2020-02-21
300088.SZ,0.025561507142605293,0,2020-02-21
002127.SZ,0.025498728164772538,0,2020-02-21
002129.SZ,0.024880675229576463,0,2020-02-21
600909.SH,0.024148980141278028,0,2020-02-21
002385.SZ,0.0239815695337113,0,2020-02-21
000999.SZ,0.023950180044795384,0,2020-02-21
600460.SH,0.02389786422992801,0,2020-02-21
600567.SH,0.023876937903974348,0,2020-02-21
000547.SZ,0.023730453622367115,0,2020-02-21
600808.SH,0.02316544282183358,0,2020-02-21
300010.SZ,0.023113127006969807,0,2020-02-21
600171.SH,0.02309220068100795,0,2020-02-21
300316.SZ,0.022935979556243654,0,2020-02-21
300244.SZ,0.02293525323643048,0,2020-02-21
000012.SZ,0.022631821510221008,0,2020-02-21
002056.SZ,0.022569042532383423,0,2020-02-21
000021.SZ,0.02248533722863055,0,2020-02-21
300324.SZ,0.02235977927292526,0,2020-02-21
002426.SZ,0.022317926621032998,0,2020-02-21
002709.SZ,0.022307463458060523,0,2020-02-21
600565.SH,0.02220283182833358,0,2020-02-21
002118.SZ,0.022098200198604534,0,2020-02-21
300459.SZ,0.02202495805779456,0,2020-02-21
603568.SH,0.02198310540590552,0,2020-02-21
601099.SH,0.02181834765758157,0,2020-02-21
002444.SZ,0.021752915820510345,0,2020-02-21
600521.SH,0.021744875830432824,0,2020-02-21
002048.SZ,0.02145504351125018,0,2020-02-21
000553.SZ,0.020360008540909944,0,2020-02-21
000848.SZ,0.02014532992281391,0,2020-02-21
600143.SH,0.019640663504178275,0,2020-02-21
002180.SZ,0.018151669852093173,0,2020-02-21
601228.SH,0.018119502924727103,0,2020-02-21
600317.SH,0.01783192504986804,0,2020-02-21
300253.SZ,0.01780987468911066,0,2020-02-21
601689.SH,0.016003079931461443,0,2020-02-21
000758.SZ,0.01509861403013481,0,2020-02-21
002131.SZ,0.01405922648614994,0,2020-02-21
600823.SH,0.013022248647481697,0,2020-02-21
600839.SH,0.012723206174960571,0,2020-02-21
600777.SH,0.012617298914811184,0,2020-02-21
601128.SH,0.012184930416178038,0,2020-02-21
002653.SZ,0.01123501385984538,0,2020-02-21
600008.SH,0.010406354326795856,0,2020-02-21
300133.SZ,0.009837336963238734,0,2020-02-21
300113.SZ,0.009603297909848627,0,2020-02-21
300197.SZ,0.008344484243567086,0,2020-02-21
