证券代码,持仓权重,交易价格,成分日期
300383.SZ,0.025617274307009198,0,2020-02-18
002812.SZ,0.025300254145923323,0,2020-02-18
002129.SZ,0.02515708375059105,0,2020-02-18
300253.SZ,0.025136630836977807,0,2020-02-18
300088.SZ,0.024983233984839495,0,2020-02-18
002371.SZ,0.02484416128240747,0,2020-02-18
002340.SZ,0.02459462862609648,0,2020-02-18
000401.SZ,0.024277608464997984,0,2020-02-18
600909.SH,0.02360266231559936,0,2020-02-18
600745.SH,0.023496300054611587,0,2020-02-18
002385.SZ,0.023439039006653187,0,2020-02-18
000999.SZ,0.02340835963622466,0,2020-02-18
000547.SZ,0.02319360404323257,0,2020-02-18
002127.SZ,0.02284076753963044,0,2020-02-18
600808.SH,0.022641375375536343,0,2020-02-18
000021.SZ,0.02259024309149027,0,2020-02-18
600845.SH,0.022581743121483616,0,2020-02-18
603707.SH,0.02258001663468101,0,2020-02-18
600171.SH,0.022569790177870603,0,2020-02-18
300244.SZ,0.02232168648311142,0,2020-02-18
002048.SZ,0.02230390230083307,0,2020-02-18
300182.SZ,0.022170958362311217,0,2020-02-18
000758.SZ,0.021894844028463995,0,2020-02-18
300324.SZ,0.021853938201229,0,2020-02-18
002444.SZ,0.021833485287609592,0,2020-02-18
002709.SZ,0.021802805917182828,0,2020-02-18
600565.SH,0.02170054134909101,0,2020-02-18
002118.SZ,0.021598276780998404,0,2020-02-18
300316.SZ,0.021577823867389025,0,2020-02-18
000553.SZ,0.021536918040141535,0,2020-02-18
300459.SZ,0.02152669158332982,0,2020-02-18
603568.SH,0.021485785756098153,0,2020-02-18
002426.SZ,0.021240350792675316,0,2020-02-18
603056.SH,0.021219897879059157,0,2020-02-18
600521.SH,0.019929727509500124,0,2020-02-18
601099.SH,0.019505684087189112,0,2020-02-18
002507.SZ,0.018417848713342254,0,2020-02-18
600143.SH,0.01755882634138163,0,2020-02-18
002831.SZ,0.017322918960347204,0,2020-02-18
002180.SZ,0.01622766046937015,0,2020-02-18
600317.SH,0.015941807425012194,0,2020-02-18
601689.SH,0.014306813076044013,0,2020-02-18
600839.SH,0.011949614781474173,0,2020-02-18
600823.SH,0.011641938803479093,0,2020-02-18
600777.SH,0.0112799122338855,0,2020-02-18
601128.SH,0.010893373185380877,0,2020-02-18
600008.SH,0.009303319535625664,0,2020-02-18
300315.SZ,0.009188197827176564,0,2020-02-18
000732.SZ,0.009024289918213626,0,2020-02-18
300113.SZ,0.008585384107197955,0,2020-02-18
