证券代码,持仓权重,交易价格,成分日期
600745.SH,0.03153382817855556,0,2019-12-11
603501.SH,0.026451377568375293,0,2019-12-11
600763.SH,0.02598840129821326,0,2019-12-11
002127.SZ,0.025011006950103526,0,2019-12-11
002506.SZ,0.02469418928469291,0,2019-12-11
600298.SH,0.024640625933977978,0,2019-12-11
300315.SZ,0.02464062593397676,0,2019-12-11
300168.SZ,0.024476012149030547,0,2019-12-11
002371.SZ,0.024465723787473484,0,2019-12-11
600673.SH,0.024198226386937208,0,2019-12-11
601100.SH,0.023714673393661515,0,2019-12-11
600486.SH,0.02341631090844725,0,2019-12-11
600497.SH,0.02341631090844253,0,2019-12-11
000581.SZ,0.02334899773852861,0,2019-12-11
002812.SZ,0.02329285056973833,0,2019-12-11
603659.SH,0.023056218253880528,0,2019-12-11
600266.SH,0.02300477644608536,0,2019-12-11
002368.SZ,0.022881316107376343,0,2019-12-11
600580.SH,0.022747567407108725,0,2019-12-11
600643.SH,0.022727828058427244,0,2019-12-11
002332.SZ,0.022716702322431278,0,2019-12-11
002233.SZ,0.022665260514634366,0,2019-12-11
603816.SH,0.022469781645013325,0,2019-12-11
600597.SH,0.02242862819877579,0,2019-12-11
300308.SZ,0.02228459113694888,0,2019-12-11
002280.SZ,0.022243437690713127,0,2019-12-11
600862.SH,0.022037670459532564,0,2019-12-11
300055.SZ,0.021862768313028483,0,2019-12-11
603568.SH,0.021667289443405645,0,2019-12-11
603569.SH,0.020792778710883815,0,2019-12-11
002250.SZ,0.020741336903098484,0,2019-12-11
600640.SH,0.020515036077276876,0,2019-12-11
600307.SH,0.0193295028481063,0,2019-12-11
600094.SH,0.01865279950659216,0,2019-12-11
002607.SZ,0.018570449485642078,0,2019-12-11
002390.SZ,0.016713915827201595,0,2019-12-11
000932.SZ,0.016391688484981896,0,2019-12-11
300088.SZ,0.01568975137758598,0,2019-12-11
002128.SZ,0.014943989592285219,0,2019-12-11
002353.SZ,0.014768111403288682,0,2019-12-11
002405.SZ,0.013745251042920974,0,2019-12-11
002242.SZ,0.01268554980233937,0,2019-12-11
600779.SH,0.012645083543100406,0,2019-12-11
601689.SH,0.012300175063664607,0,2019-12-11
600267.SH,0.0118465758607854,0,2019-12-11
600754.SH,0.01179046234669843,0,2019-12-11
000975.SZ,0.011049700314421027,0,2019-12-11
601000.SH,0.010380956813093742,0,2019-12-11
600820.SH,0.009794520204237328,0,2019-12-11
002670.SZ,0.008569367804279273,0,2019-12-11
