证券代码,持仓权重,交易价格,成分日期
600745.SH,0.027879163666012372,0,2019-12-31
300383.SZ,0.0256095470523023,0,2019-12-31
002371.SZ,0.025589125837743868,0,2019-12-31
002812.SZ,0.025292648151158757,0,2019-12-31
002465.SZ,0.02521085959463628,0,2019-12-31
002127.SZ,0.02491438253298004,0,2019-12-31
600801.SH,0.024740584375038625,0,2019-12-31
600885.SH,0.024116947187275247,0,2019-12-31
300529.SZ,0.024035172111307283,0,2019-12-31
600325.SH,0.0236057877195321,0,2019-12-31
601231.SH,0.02344221592991391,0,2019-12-31
600728.SH,0.02343199226616208,0,2019-12-31
002174.SZ,0.023401322400162645,0,2019-12-31
002670.SZ,0.02338087408666506,0,2019-12-31
002019.SZ,0.023309310644065946,0,2019-12-31
000878.SZ,0.02321730092255872,0,2019-12-31
002212.SZ,0.023074174162152506,0,2019-12-31
603882.SH,0.022685685412163273,0,2019-12-31
600580.SH,0.02260390611693422,0,2019-12-31
600216.SH,0.02259367432435026,0,2019-12-31
300010.SZ,0.02258345096888225,0,2019-12-31
600640.SH,0.02240965430369442,0,2019-12-31
603816.SH,0.022409653795553288,0,2019-12-31
601689.SH,0.02219496327250026,0,2019-12-31
601598.SH,0.022051833479462404,0,2019-12-31
002203.SZ,0.021878038126852923,0,2019-12-31
002444.SZ,0.021826920373728003,0,2019-12-31
002681.SZ,0.02153044341404217,0,2019-12-31
002470.SZ,0.021489542892475955,0,2019-12-31
603568.SH,0.02147932577744788,0,2019-12-31
601003.SH,0.021141814273466057,0,2019-12-31
603379.SH,0.020988603575395056,0,2019-12-31
002635.SZ,0.02000715074069537,0,2019-12-31
600298.SH,0.018698565945550145,0,2019-12-31
002507.SZ,0.018412301748526604,0,2019-12-31
600256.SH,0.01840208148256914,0,2019-12-31
002051.SZ,0.017850023404140138,0,2019-12-31
000009.SZ,0.017011707925237037,0,2019-12-31
600909.SH,0.016725441944442598,0,2019-12-31
600022.SH,0.016562012929906958,0,2019-12-31
300418.SZ,0.01564177102068753,0,2019-12-31
000732.SZ,0.01340284486126035,0,2019-12-31
600704.SH,0.013075692812615553,0,2019-12-31
002242.SZ,0.01243163153871908,0,2019-12-31
600258.SH,0.011470634219101295,0,2019-12-31
002353.SZ,0.011010575064728184,0,2019-12-31
600985.SH,0.00984511762139373,0,2019-12-31
601860.SH,0.009507742369736984,0,2019-12-31
000967.SZ,0.008822777623627358,0,2019-12-31
603707.SH,0.007003008000445781,0,2019-12-31
