证券代码,持仓权重,交易价格,成分日期
600745.SH,0.026280391382877744,0,2020-01-23
002371.SZ,0.025348678085286683,0,2020-01-23
002340.SZ,0.025024603894823593,0,2020-01-23
002065.SZ,0.024811930207333056,0,2020-01-23
002180.SZ,0.02438658283234944,0,2020-01-23
002353.SZ,0.023502191617685568,0,2020-01-23
600325.SH,0.02338397830560382,0,2020-01-23
600909.SH,0.023373850987151792,0,2020-01-23
002129.SZ,0.023292832439542967,0,2020-01-23
600486.SH,0.023272577802632866,0,2020-01-23
002174.SZ,0.023181431936564658,0,2020-01-23
002074.SZ,0.022989012885977635,0,2020-01-23
600884.SH,0.022766211880033072,0,2020-01-23
000581.SZ,0.022661245283366174,0,2020-01-23
603882.SH,0.02247251964492666,0,2020-01-23
002407.SZ,0.0223712464604068,0,2020-01-23
603707.SH,0.022361119141954967,0,2020-01-23
002317.SZ,0.022209209365175838,0,2020-01-23
603816.SH,0.02219908204672343,0,2020-01-23
000932.SZ,0.022158572772913554,0,2020-01-23
600446.SH,0.02200519767488584,0,2020-01-23
002399.SZ,0.021976281040780064,0,2020-01-23
300182.SZ,0.02195602640387535,0,2020-01-23
000732.SZ,0.021702843442570976,0,2020-01-23
000967.SZ,0.021631952213409307,0,2020-01-23
600765.SH,0.02161169757650885,0,2020-01-23
002635.SZ,0.021611697576508722,0,2020-01-23
600125.SH,0.021540806347337384,0,2020-01-23
002681.SZ,0.021328132659854327,0,2020-01-23
600026.SH,0.021028860409797543,0,2020-01-23
000878.SZ,0.021014185787842782,0,2020-01-23
600260.SH,0.020953421877123832,0,2020-01-23
603256.SH,0.020588838412859498,0,2020-01-23
300529.SZ,0.0197989075736271,0,2020-01-23
002127.SZ,0.019241905058746477,0,2020-01-23
600737.SH,0.018522865448650006,0,2020-01-23
600779.SH,0.018239300531999864,0,2020-01-23
600970.SH,0.017682298017143987,0,2020-01-23
002709.SZ,0.01668801490579558,0,2020-01-23
300012.SZ,0.016375871324959664,0,2020-01-23
600155.SH,0.016355619299909405,0,2020-01-23
300058.SZ,0.0157378528743403,0,2020-01-23
002110.SZ,0.01519097767795999,0,2020-01-23
600801.SH,0.014694739073811084,0,2020-01-23
002368.SZ,0.013764491097482637,0,2020-01-23
600699.SH,0.013594554774697567,0,2020-01-23
600985.SH,0.010284810855577479,0,2020-01-23
600908.SH,0.009418406160332285,0,2020-01-23
002690.SZ,0.00902675525004961,0,2020-01-23
600021.SH,0.008385419678232304,0,2020-01-23
