证券代码,持仓权重,交易价格,成分日期
002812.SZ,0.025477711046632854,0,2020-01-22
002340.SZ,0.025446816489986944,0,2020-01-22
002065.SZ,0.025230554593471833,0,2020-01-22
002353.SZ,0.02484952172818307,0,2020-01-22
600885.SH,0.024293419708571382,0,2020-01-22
600150.SH,0.024200736038636695,0,2020-01-22
600699.SH,0.023953579585477596,0,2020-01-22
000686.SZ,0.02372701950341183,0,2020-01-22
600486.SH,0.02366523039012319,0,2020-01-22
000513.SZ,0.023582844905735346,0,2020-01-22
002174.SZ,0.023572546720186955,0,2020-01-22
002110.SZ,0.02334598663812285,0,2020-01-22
600466.SH,0.02326360115373592,0,2020-01-22
002212.SZ,0.02324300478264013,0,2020-01-22
300113.SZ,0.023160619298252395,0,2020-01-22
601872.SH,0.022995848329475856,0,2020-01-22
300001.SZ,0.022769288247416114,0,2020-01-22
600026.SH,0.022686902763027435,0,2020-01-22
002317.SZ,0.022583920907545057,0,2020-01-22
002414.SZ,0.02248093905206131,0,2020-01-22
000028.SZ,0.022223484413353728,0,2020-01-22
603707.SH,0.022177899593354478,0,2020-01-22
002925.SZ,0.02204841525903063,0,2020-01-22
000967.SZ,0.02199692433128814,0,2020-01-22
002709.SZ,0.021955731589091657,0,2020-01-22
002745.SZ,0.02185274973361108,0,2020-01-22
600478.SH,0.021821855176967067,0,2020-01-22
002920.SZ,0.021801258805869663,0,2020-01-22
002681.SZ,0.021687978764837575,0,2020-01-22
002867.SZ,0.021595295094902173,0,2020-01-22
600338.SH,0.02136873501284496,0,2020-01-22
600776.SH,0.021306945899543933,0,2020-01-22
603882.SH,0.020085853897110408,0,2020-01-22
002818.SZ,0.019566552541874,0,2020-01-22
002946.SZ,0.019210059893579646,0,2020-01-22
000998.SZ,0.018835381367939493,0,2020-01-22
600039.SH,0.017980631967429696,0,2020-01-22
000009.SZ,0.01713618075246466,0,2020-01-22
002180.SZ,0.01612695856871502,0,2020-01-22
603983.SH,0.015704732961249246,0,2020-01-22
300418.SZ,0.015169227312730462,0,2020-01-22
600801.SH,0.014942667230662132,0,2020-01-22
600325.SH,0.014805679104290747,0,2020-01-22
002048.SZ,0.012913924677635656,0,2020-01-22
600060.SH,0.0125225936268006,0,2020-01-22
600120.SH,0.010206548544966497,0,2020-01-22
600339.SH,0.009917152683065077,0,2020-01-22
002936.SZ,0.00957731255997094,0,2020-01-22
000031.SZ,0.009508336975376943,0,2020-01-22
000536.SZ,0.009422839776749155,0,2020-01-22
