证券代码,持仓权重,交易价格,成分日期
600426.SH,0.02617336342513245,0,2020-01-15
002812.SZ,0.025624416744668567,0,2020-01-15
002340.SZ,0.02554155686837497,0,2020-01-15
002273.SZ,0.025116900002352577,0,2020-01-15
600885.SH,0.024433306022908077,0,2020-01-15
600150.SH,0.024340088662074814,0,2020-01-15
600699.SH,0.024091509033184955,0,2020-01-15
601100.SH,0.023894716826979093,0,2020-01-15
000686.SZ,0.023863644373369648,0,2020-01-15
601231.SH,0.02374971204346228,0,2020-01-15
002385.SZ,0.02373935455892568,0,2020-01-15
002174.SZ,0.023708282105315136,0,2020-01-15
002110.SZ,0.023480417445499016,0,2020-01-15
300308.SZ,0.02340791505373945,0,2020-01-15
600466.SH,0.023397557569202,0,2020-01-15
002212.SZ,0.023376842600127765,0,2020-01-15
600380.SH,0.023138620455776516,0,2020-01-15
300010.SZ,0.02287968334234954,0,2020-01-15
603707.SH,0.022869325857812758,0,2020-01-15
600026.SH,0.02281753843512721,0,2020-01-15
002317.SZ,0.022713963589756837,0,2020-01-15
002030.SZ,0.022268591754663544,0,2020-01-15
002925.SZ,0.022175374393831642,0,2020-01-15
000967.SZ,0.02212358697114469,0,2020-01-15
002920.SZ,0.021926794764942352,0,2020-01-15
002681.SZ,0.021812862435033567,0,2020-01-15
603888.SH,0.02177143249688493,0,2020-01-15
002867.SZ,0.021719645074199184,0,2020-01-15
000536.SZ,0.021616070228829,0,2020-01-15
600338.SH,0.021543567837069913,0,2020-01-15
600339.SH,0.02033174214623833,0,2020-01-15
002416.SZ,0.020070383925677837,0,2020-01-15
603882.SH,0.019504264904526423,0,2020-01-15
603983.SH,0.01921653417801132,0,2020-01-15
002439.SZ,0.018715974558448527,0,2020-01-15
002946.SZ,0.018653829651231222,0,2020-01-15
000009.SZ,0.017234854269657828,0,2020-01-15
300418.SZ,0.016779124950025606,0,2020-01-15
000987.SZ,0.01676876746548388,0,2020-01-15
002709.SZ,0.01628892281501758,0,2020-01-15
000400.SZ,0.015149312207650414,0,2020-01-15
600801.SH,0.015028710063264696,0,2020-01-15
600325.SH,0.014376978385923484,0,2020-01-15
601689.SH,0.012988285609472856,0,2020-01-15
600258.SH,0.01162109765057357,0,2020-01-15
603885.SH,0.010235985380718864,0,2020-01-15
002127.SZ,0.009966321231776178,0,2020-01-15
002936.SZ,0.00963246061946005,0,2020-01-15
600545.SH,0.009373523506033665,0,2020-01-15
600167.SH,0.008746285508069437,0,2020-01-15
