证券代码,持仓权重,交易价格,成分日期
002384.SZ,0.026787386924708816,0,2020-02-10
300014.SZ,0.026376358965235033,0,2020-02-10
300383.SZ,0.025739315858658088,0,2020-02-10
002371.SZ,0.025718770327206087,0,2020-02-10
002812.SZ,0.025420789983891807,0,2020-02-10
002340.SZ,0.025389964987277625,0,2020-02-10
002065.SZ,0.025174175165230142,0,2020-02-10
600739.SH,0.025020051694270826,0,2020-02-10
002353.SZ,0.02479400131267213,0,2020-02-10
002180.SZ,0.024742612580198005,0,2020-02-10
000998.SZ,0.02379731024804678,0,2020-02-10
600909.SH,0.023715106393290986,0,2020-02-10
002074.SZ,0.023324653455288214,0,2020-02-10
300418.SZ,0.023314378661989793,0,2020-02-10
000547.SZ,0.023304102558141023,0,2020-02-10
300001.SZ,0.02301638455550747,0,2020-02-10
002589.SZ,0.022769793776970863,0,2020-02-10
300010.SZ,0.022697867123337736,0,2020-02-10
603707.SH,0.02268759159298733,0,2020-02-10
600026.SH,0.02263621005580835,0,2020-02-10
002414.SZ,0.022430713876838135,0,2020-02-10
002048.SZ,0.022410156140272447,0,2020-02-10
600507.SH,0.0222971272786585,0,2020-02-10
600729.SH,0.0222971148472818,0,2020-02-10
300182.SZ,0.022276586062216993,0,2020-02-10
600823.SH,0.022163550835521562,0,2020-02-10
000078.SZ,0.02202998145985837,0,2020-02-10
002709.SZ,0.021906679312227836,0,2020-02-10
603568.SH,0.02158814774299131,0,2020-02-10
600623.SH,0.021444294603125438,0,2020-02-10
601865.SH,0.020981908504083352,0,2020-02-10
603517.SH,0.01850555400890646,0,2020-02-10
002603.SZ,0.017899343033262575,0,2020-02-10
600143.SH,0.017837678433703708,0,2020-02-10
002635.SZ,0.01773492642092677,0,2020-02-10
000009.SZ,0.01709789241261108,0,2020-02-10
600155.SH,0.01659438252333726,0,2020-02-10
603888.SH,0.01617310918391744,0,2020-02-10
002444.SZ,0.015874646071438556,0,2020-02-10
600466.SH,0.015032557912753822,0,2020-02-10
603816.SH,0.014806522811072347,0,2020-02-10
600699.SH,0.014374973092079172,0,2020-02-10
600845.SH,0.013594073643180743,0,2020-02-10
603056.SH,0.012668965128415961,0,2020-02-10
600060.SH,0.012494612894706228,0,2020-02-10
002465.SZ,0.01169313728172879,0,2020-02-10
000426.SZ,0.01104622568741402,0,2020-02-10
600985.SH,0.009894983606489528,0,2020-02-10
002839.SZ,0.009555888407863422,0,2020-02-10
600863.SH,0.008867440562399223,0,2020-02-10
